Date,Links,Brands,Price,Binary,CLIENT
"July 18, 2023",Amazon Japan,Oi-ocha_600ml,8480,1,COKE
"July 18, 2023",Amazon Japan,Iyemon_600ml,0,0,COKE
"July 18, 2023",Amazon Japan,Ayataka_525ml,0,0,COKE
"July 18, 2023",Amazon Japan,Ayataka_chabano_amami_525ml,0,0,COKE
"July 18, 2023",Qoo10,Oi-ocha_600ml,5783,1,COKE
"July 18, 2023",Qoo10,Iyemon_600ml,3735,1,COKE
"July 18, 2023",Qoo10,Ayataka_525ml,3170,1,COKE
"July 18, 2023",Qoo10,Ayataka_chabano_amami_525ml,2776,1,COKE
"July 18, 2023",Rakuten,Oi-ocha_600ml,2698,1,COKE
"July 18, 2023",Rakuten,Iyemon_600ml,2500,1,COKE
"July 18, 2023",Rakuten,Ayataka_525ml,3342,1,COKE
"July 18, 2023",Rakuten,Ayataka_chabano_amami_525ml,3120,1,COKE
"July 18, 2023",Rakuten,Namacha_600ml,2268,1,COKE
"July 18, 2023",Wowma!,Oi-ocha_600ml,2021,1,COKE
"July 18, 2023",Wowma!,Iyemon_600ml,2199,1,COKE
"July 18, 2023",Wowma!,Ayataka_525ml,4752,1,COKE
"July 18, 2023",Wowma!,Namacha_600ml,3281,1,COKE
"July 18, 2023",Yahoo! Shopping,Oi-ocha_600ml,5928,1,COKE
"July 18, 2023",Yahoo! Shopping,Iyemon_600ml,2599,1,COKE
"July 18, 2023",Yahoo! Shopping,Ayataka_525ml,2304,1,COKE
"July 18, 2023",Yahoo! Shopping,Ayataka_chabano_amami_525ml,2496,1,COKE
"July 18, 2023",Yahoo! Shopping,Namacha_600ml,2274,1,COKE
"July 19, 2023",Amazon Japan,Oi-ocha_600ml,8480,1,COKE
"July 19, 2023",Amazon Japan,Iyemon_600ml,0,0,COKE
"July 19, 2023",Amazon Japan,Ayataka_525ml,0,0,COKE
"July 19, 2023",Amazon Japan,Ayataka_chabano_amami_525ml,0,0,COKE
"July 19, 2023",Qoo10,Oi-ocha_600ml,5783,1,COKE
"July 19, 2023",Qoo10,Iyemon_600ml,3735,1,COKE
"July 19, 2023",Qoo10,Ayataka_525ml,3170,1,COKE
"July 19, 2023",Qoo10,Ayataka_chabano_amami_525ml,2776,1,COKE
"July 19, 2023",Rakuten,Oi-ocha_600ml,2698,1,COKE
"July 19, 2023",Rakuten,Iyemon_600ml,2500,1,COKE
"July 19, 2023",Rakuten,Ayataka_525ml,3342,1,COKE
"July 19, 2023",Rakuten,Ayataka_chabano_amami_525ml,3120,1,COKE
"July 19, 2023",Rakuten,Namacha_600ml,2268,1,COKE
"July 19, 2023",Wowma!,Oi-ocha_600ml,2021,1,COKE
"July 19, 2023",Wowma!,Iyemon_600ml,2199,1,COKE
"July 19, 2023",Wowma!,Ayataka_525ml,4752,1,COKE
"July 19, 2023",Wowma!,Namacha_600ml,3281,1,COKE
"July 19, 2023",Yahoo! Shopping,Oi-ocha_600ml,5928,1,COKE
"July 19, 2023",Yahoo! Shopping,Iyemon_600ml,2599,1,COKE
"July 19, 2023",Yahoo! Shopping,Ayataka_525ml,2304,1,COKE
"July 19, 2023",Yahoo! Shopping,Ayataka_chabano_amami_525ml,2496,1,COKE
"July 19, 2023",Yahoo! Shopping,Namacha_600ml,2274,1,COKE
"July 20, 2023",Amazon Japan,Oi-ocha_600ml,8480,1,COKE
"July 20, 2023",Amazon Japan,Iyemon_600ml,0,0,COKE
"July 20, 2023",Amazon Japan,Ayataka_525ml,0,0,COKE
"July 20, 2023",Amazon Japan,Ayataka_chabano_amami_525ml,0,0,COKE
"July 20, 2023",Qoo10,Oi-ocha_600ml,5783,1,COKE
"July 20, 2023",Qoo10,Iyemon_600ml,3735,1,COKE
"July 20, 2023",Qoo10,Ayataka_525ml,3170,1,COKE
"July 20, 2023",Qoo10,Ayataka_chabano_amami_525ml,2776,1,COKE
"July 20, 2023",Rakuten,Oi-ocha_600ml,2698,1,COKE
"July 20, 2023",Rakuten,Iyemon_600ml,2500,1,COKE
"July 20, 2023",Rakuten,Ayataka_525ml,3342,1,COKE
"July 20, 2023",Rakuten,Ayataka_chabano_amami_525ml,3120,1,COKE
"July 20, 2023",Rakuten,Namacha_600ml,2268,1,COKE
"July 20, 2023",Wowma!,Oi-ocha_600ml,2021,1,COKE
"July 20, 2023",Wowma!,Iyemon_600ml,2199,1,COKE
"July 20, 2023",Wowma!,Ayataka_525ml,4752,1,COKE
"July 20, 2023",Wowma!,Namacha_600ml,3281,1,COKE
"July 20, 2023",Yahoo! Shopping,Oi-ocha_600ml,5928,1,COKE
"July 20, 2023",Yahoo! Shopping,Iyemon_600ml,2599,1,COKE
"July 20, 2023",Yahoo! Shopping,Ayataka_525ml,2304,1,COKE
"July 20, 2023",Yahoo! Shopping,Ayataka_chabano_amami_525ml,2496,1,COKE
"July 20, 2023",Yahoo! Shopping,Namacha_600ml,2274,1,COKE
"July 21, 2023",Amazon Japan,Oi-ocha_600ml,8480,1,COKE
"July 21, 2023",Amazon Japan,Iyemon_600ml,0,0,COKE
"July 21, 2023",Amazon Japan,Ayataka_525ml,0,0,COKE
"July 21, 2023",Amazon Japan,Ayataka_chabano_amami_525ml,0,0,COKE
"July 21, 2023",Qoo10,Oi-ocha_600ml,5783,1,COKE
"July 21, 2023",Qoo10,Iyemon_600ml,3735,1,COKE
"July 21, 2023",Qoo10,Ayataka_525ml,3170,1,COKE
"July 21, 2023",Qoo10,Ayataka_chabano_amami_525ml,2776,1,COKE
"July 21, 2023",Rakuten,Oi-ocha_600ml,2698,1,COKE
"July 21, 2023",Rakuten,Iyemon_600ml,2500,1,COKE
"July 21, 2023",Rakuten,Ayataka_525ml,3342,1,COKE
"July 21, 2023",Rakuten,Ayataka_chabano_amami_525ml,3120,1,COKE
"July 21, 2023",Rakuten,Namacha_600ml,0,0,COKE
"July 21, 2023",Wowma!,Oi-ocha_600ml,2021,1,COKE
"July 21, 2023",Wowma!,Iyemon_600ml,2199,1,COKE
"July 21, 2023",Wowma!,Ayataka_525ml,4752,1,COKE
"July 21, 2023",Wowma!,Namacha_600ml,3281,1,COKE
"July 21, 2023",Yahoo! Shopping,Oi-ocha_600ml,5928,1,COKE
"July 21, 2023",Yahoo! Shopping,Iyemon_600ml,2599,1,COKE
"July 21, 2023",Yahoo! Shopping,Ayataka_525ml,2304,1,COKE
"July 21, 2023",Yahoo! Shopping,Ayataka_chabano_amami_525ml,2496,1,COKE
"July 21, 2023",Yahoo! Shopping,Namacha_600ml,2274,1,COKE
"July 22, 2023",Amazon Japan,Oi-ocha_600ml,8480,1,COKE
"July 22, 2023",Amazon Japan,Iyemon_600ml,0,0,COKE
"July 22, 2023",Amazon Japan,Ayataka_525ml,0,0,COKE
"July 22, 2023",Amazon Japan,Ayataka_chabano_amami_525ml,0,0,COKE
"July 22, 2023",Qoo10,Oi-ocha_600ml,5783,1,COKE
"July 22, 2023",Qoo10,Iyemon_600ml,3735,1,COKE
"July 22, 2023",Qoo10,Ayataka_525ml,3170,1,COKE
"July 22, 2023",Qoo10,Ayataka_chabano_amami_525ml,2776,1,COKE
"July 22, 2023",Rakuten,Oi-ocha_600ml,2698,1,COKE
"July 22, 2023",Rakuten,Iyemon_600ml,2500,1,COKE
"July 22, 2023",Rakuten,Ayataka_525ml,3342,1,COKE
"July 22, 2023",Rakuten,Ayataka_chabano_amami_525ml,3120,1,COKE
"July 22, 2023",Rakuten,Namacha_600ml,0,0,COKE
"July 22, 2023",Wowma!,Oi-ocha_600ml,2021,1,COKE
"July 22, 2023",Wowma!,Iyemon_600ml,2199,1,COKE
"July 22, 2023",Wowma!,Ayataka_525ml,4752,1,COKE
"July 22, 2023",Wowma!,Namacha_600ml,3281,1,COKE
"July 22, 2023",Yahoo! Shopping,Oi-ocha_600ml,5928,1,COKE
"July 22, 2023",Yahoo! Shopping,Iyemon_600ml,2599,1,COKE
"July 22, 2023",Yahoo! Shopping,Ayataka_525ml,2304,1,COKE
"July 22, 2023",Yahoo! Shopping,Ayataka_chabano_amami_525ml,2496,1,COKE
"July 22, 2023",Yahoo! Shopping,Namacha_600ml,2321,1,COKE
"July 23, 2023",Amazon Japan,Oi-ocha_600ml,8480,1,COKE
"July 23, 2023",Amazon Japan,Iyemon_600ml,0,0,COKE
"July 23, 2023",Amazon Japan,Ayataka_525ml,0,0,COKE
"July 23, 2023",Amazon Japan,Ayataka_chabano_amami_525ml,0,0,COKE
"July 23, 2023",Qoo10,Oi-ocha_600ml,5783,1,COKE
"July 23, 2023",Qoo10,Iyemon_600ml,3735,1,COKE
"July 23, 2023",Qoo10,Ayataka_525ml,3170,1,COKE
"July 23, 2023",Qoo10,Ayataka_chabano_amami_525ml,2776,1,COKE
"July 23, 2023",Rakuten,Oi-ocha_600ml,2698,1,COKE
"July 23, 2023",Rakuten,Iyemon_600ml,2500,1,COKE
"July 23, 2023",Rakuten,Ayataka_525ml,3342,1,COKE
"July 23, 2023",Rakuten,Ayataka_chabano_amami_525ml,3120,1,COKE
"July 23, 2023",Rakuten,Namacha_600ml,0,0,COKE
"July 23, 2023",Wowma!,Oi-ocha_600ml,2021,1,COKE
"July 23, 2023",Wowma!,Iyemon_600ml,2199,1,COKE
"July 23, 2023",Wowma!,Ayataka_525ml,4752,1,COKE
"July 23, 2023",Wowma!,Namacha_600ml,3281,1,COKE
"July 23, 2023",Yahoo! Shopping,Oi-ocha_600ml,5928,1,COKE
"July 23, 2023",Yahoo! Shopping,Iyemon_600ml,2599,1,COKE
"July 23, 2023",Yahoo! Shopping,Ayataka_525ml,2304,1,COKE
"July 23, 2023",Yahoo! Shopping,Ayataka_chabano_amami_525ml,2496,1,COKE
"July 23, 2023",Yahoo! Shopping,Namacha_600ml,2274,1,COKE
"July 24, 2023",Amazon Japan,Oi-ocha_600ml,8480,1,COKE
"July 24, 2023",Amazon Japan,Iyemon_600ml,0,0,COKE
"July 24, 2023",Amazon Japan,Ayataka_525ml,0,0,COKE
"July 24, 2023",Amazon Japan,Ayataka_chabano_amami_525ml,0,0,COKE
"July 24, 2023",Qoo10,Oi-ocha_600ml,5783,1,COKE
"July 24, 2023",Qoo10,Iyemon_600ml,3033,1,COKE
"July 24, 2023",Qoo10,Ayataka_525ml,3170,1,COKE
"July 24, 2023",Qoo10,Ayataka_chabano_amami_525ml,2776,1,COKE
"July 24, 2023",Rakuten,Oi-ocha_600ml,2698,1,COKE
"July 24, 2023",Rakuten,Iyemon_600ml,2500,1,COKE
"July 24, 2023",Rakuten,Ayataka_525ml,3342,1,COKE
"July 24, 2023",Rakuten,Ayataka_chabano_amami_525ml,3120,1,COKE
"July 24, 2023",Rakuten,Namacha_600ml,0,0,COKE
"July 24, 2023",Wowma!,Oi-ocha_600ml,2021,1,COKE
"July 24, 2023",Wowma!,Iyemon_600ml,2199,1,COKE
"July 24, 2023",Wowma!,Ayataka_525ml,4752,1,COKE
"July 24, 2023",Wowma!,Namacha_600ml,3281,1,COKE
"July 24, 2023",Yahoo! Shopping,Oi-ocha_600ml,5928,1,COKE
"July 24, 2023",Yahoo! Shopping,Iyemon_600ml,2599,1,COKE
"July 24, 2023",Yahoo! Shopping,Ayataka_525ml,2304,1,COKE
"July 24, 2023",Yahoo! Shopping,Ayataka_chabano_amami_525ml,2496,1,COKE
"July 24, 2023",Yahoo! Shopping,Namacha_600ml,2274,1,COKE
"July 25, 2023",Amazon Japan,Oi-ocha_600ml,8480,1,COKE
"July 25, 2023",Amazon Japan,Iyemon_600ml,0,0,COKE
"July 25, 2023",Amazon Japan,Ayataka_525ml,0,0,COKE
"July 25, 2023",Amazon Japan,Ayataka_chabano_amami_525ml,0,0,COKE
"July 25, 2023",Qoo10,Oi-ocha_600ml,5783,1,COKE
"July 25, 2023",Qoo10,Iyemon_600ml,3033,1,COKE
"July 25, 2023",Qoo10,Ayataka_525ml,3170,1,COKE
"July 25, 2023",Qoo10,Ayataka_chabano_amami_525ml,2776,1,COKE
"July 25, 2023",Rakuten,Oi-ocha_600ml,2698,1,COKE
"July 25, 2023",Rakuten,Iyemon_600ml,2500,1,COKE
"July 25, 2023",Rakuten,Ayataka_525ml,3342,1,COKE
"July 25, 2023",Rakuten,Ayataka_chabano_amami_525ml,3120,1,COKE
"July 25, 2023",Rakuten,Namacha_600ml,0,0,COKE
"July 25, 2023",Wowma!,Oi-ocha_600ml,2021,1,COKE
"July 25, 2023",Wowma!,Iyemon_600ml,2199,1,COKE
"July 25, 2023",Wowma!,Ayataka_525ml,4752,1,COKE
"July 25, 2023",Wowma!,Namacha_600ml,3281,1,COKE
"July 25, 2023",Yahoo! Shopping,Oi-ocha_600ml,5928,1,COKE
"July 25, 2023",Yahoo! Shopping,Iyemon_600ml,2599,1,COKE
"July 25, 2023",Yahoo! Shopping,Ayataka_525ml,2304,1,COKE
"July 25, 2023",Yahoo! Shopping,Ayataka_chabano_amami_525ml,2496,1,COKE
"July 25, 2023",Yahoo! Shopping,Namacha_600ml,2297,1,COKE
"July 26, 2023",Amazon Japan,Oi-ocha_600ml,8480,1,COKE
"July 26, 2023",Amazon Japan,Iyemon_600ml,0,0,COKE
"July 26, 2023",Amazon Japan,Ayataka_525ml,0,0,COKE
"July 26, 2023",Amazon Japan,Ayataka_chabano_amami_525ml,0,0,COKE
"July 26, 2023",Qoo10,Oi-ocha_600ml,5783,1,COKE
"July 26, 2023",Qoo10,Iyemon_600ml,3033,1,COKE
"July 26, 2023",Qoo10,Ayataka_525ml,3170,1,COKE
"July 26, 2023",Qoo10,Ayataka_chabano_amami_525ml,2776,1,COKE
"July 26, 2023",Rakuten,Oi-ocha_600ml,2698,1,COKE
"July 26, 2023",Rakuten,Iyemon_600ml,2500,1,COKE
"July 26, 2023",Rakuten,Ayataka_525ml,3342,1,COKE
"July 26, 2023",Rakuten,Ayataka_chabano_amami_525ml,3120,1,COKE
"July 26, 2023",Rakuten,Namacha_600ml,0,0,COKE
"July 26, 2023",Wowma!,Oi-ocha_600ml,2021,1,COKE
"July 26, 2023",Wowma!,Iyemon_600ml,2199,1,COKE
"July 26, 2023",Wowma!,Ayataka_525ml,4752,1,COKE
"July 26, 2023",Wowma!,Namacha_600ml,3281,1,COKE
"July 26, 2023",Yahoo! Shopping,Oi-ocha_600ml,5928,1,COKE
"July 26, 2023",Yahoo! Shopping,Iyemon_600ml,2599,1,COKE
"July 26, 2023",Yahoo! Shopping,Ayataka_525ml,2304,1,COKE
"July 26, 2023",Yahoo! Shopping,Ayataka_chabano_amami_525ml,2496,1,COKE
"July 26, 2023",Yahoo! Shopping,Namacha_600ml,2274,1,COKE
"July 27, 2023",Amazon Japan,Oi-ocha_600ml,8480,1,COKE
"July 27, 2023",Amazon Japan,Iyemon_600ml,0,0,COKE
"July 27, 2023",Amazon Japan,Ayataka_525ml,0,0,COKE
"July 27, 2023",Amazon Japan,Ayataka_chabano_amami_525ml,0,0,COKE
"July 27, 2023",Qoo10,Oi-ocha_600ml,5783,1,COKE
"July 27, 2023",Qoo10,Iyemon_600ml,3033,1,COKE
"July 27, 2023",Qoo10,Ayataka_525ml,3170,1,COKE
"July 27, 2023",Qoo10,Ayataka_chabano_amami_525ml,2776,1,COKE
"July 27, 2023",Rakuten,Oi-ocha_600ml,2698,1,COKE
"July 27, 2023",Rakuten,Iyemon_600ml,2500,1,COKE
"July 27, 2023",Rakuten,Ayataka_525ml,3342,1,COKE
"July 27, 2023",Rakuten,Ayataka_chabano_amami_525ml,3120,1,COKE
"July 27, 2023",Rakuten,Namacha_600ml,0,0,COKE
"July 27, 2023",Wowma!,Oi-ocha_600ml,2021,1,COKE
"July 27, 2023",Wowma!,Iyemon_600ml,2199,1,COKE
"July 27, 2023",Wowma!,Ayataka_525ml,4752,1,COKE
"July 27, 2023",Wowma!,Namacha_600ml,3281,1,COKE
"July 27, 2023",Yahoo! Shopping,Oi-ocha_600ml,5928,1,COKE
"July 27, 2023",Yahoo! Shopping,Iyemon_600ml,2599,1,COKE
"July 27, 2023",Yahoo! Shopping,Ayataka_525ml,2304,1,COKE
"July 27, 2023",Yahoo! Shopping,Ayataka_chabano_amami_525ml,2496,1,COKE
"July 27, 2023",Yahoo! Shopping,Namacha_600ml,2297,1,COKE
